LAUNCHED,YPR1,YPR2,YPR3,VOLTAGE
15672,-0.06,0.13,-0.40,3.62
15712,-0.06,0.13,-0.40,3.62
15751,-0.06,0.14,-0.39,3.62
15791,-0.06,0.14,-0.39,3.63
15831,-0.06,0.13,-0.39,3.63
15871,-0.07,0.13,-0.39,3.61
15911,-0.07,0.12,-0.39,3.61
15950,-0.07,0.12,-0.39,3.61
15991,-0.06,0.13,-0.39,3.62
16028,-0.06,0.13,-0.39,3.60
16065,-0.06,0.14,-0.39,3.62
16103,-0.06,0.14,-0.39,3.63
16137,-0.06,0.14,-0.38,3.62
16180,-0.06,0.13,-0.38,3.61
16217,-0.06,0.13,-0.38,3.63
16255,-0.06,0.13,-0.38,3.62
16295,-0.06,0.13,-0.38,3.62
16332,-0.06,0.13,-0.38,3.60
16367,-0.06,0.13,-0.38,3.62
16405,-0.06,0.14,-0.38,3.63
16441,-0.06,0.13,-0.38,3.62
16477,-0.06,0.13,-0.37,3.62
16514,-0.06,0.13,-0.37,3.62
16551,-0.06,0.13,-0.37,3.62
16587,-0.06,0.13,-0.37,3.63
16625,-0.05,0.14,-0.37,3.62
16662,-0.05,0.14,-0.37,3.62
16697,-0.05,0.14,-0.36,3.61
16734,-0.05,0.14,-0.36,3.62
16771,-0.05,0.14,-0.36,3.63
16807,-0.05,0.14,-0.36,3.63
16845,-0.05,0.14,-0.36,3.61
16882,-0.05,0.14,-0.36,3.62
16920,-0.05,0.14,-0.36,3.62
16958,-0.05,0.14,-0.36,3.61
16994,-0.05,0.14,-0.35,3.63
17032,-0.05,0.14,-0.35,3.62
17068,-0.05,0.15,-0.35,3.63
17105,-0.05,0.15,-0.35,3.61
17142,-0.05,0.14,-0.35,3.62
17180,-0.05,0.15,-0.35,3.62
17216,-0.05,0.15,-0.35,3.61
17252,-0.05,0.15,-0.35,3.62
17290,-0.05,0.14,-0.34,3.62
17326,-0.05,0.15,-0.34,3.62
17363,-0.05,0.15,-0.34,3.62
17401,-0.05,0.15,-0.34,3.63
17436,-0.05,0.15,-0.35,3.62
17474,-0.05,0.15,-0.34,3.63
17512,-0.05,0.15,-0.34,3.63
17546,-0.05,0.15,-0.34,3.63
17587,-0.05,0.15,-0.34,3.62
17624,-0.05,0.15,-0.33,3.62
17662,-0.05,0.16,-0.33,3.60
17700,-0.05,0.16,-0.33,3.61
17735,-0.05,0.15,-0.33,3.62
17773,-0.05,0.15,-0.33,3.60
17811,-0.05,0.16,-0.33,3.63
17846,-0.05,0.16,-0.33,3.63
17883,-0.05,0.16,-0.33,3.61
17921,-0.05,0.16,-0.33,3.63
17957,-0.05,0.16,-0.33,3.62
17994,-0.05,0.16,-0.33,3.62
18032,-0.05,0.16,-0.33,3.63
18070,-0.05,0.16,-0.33,3.62
18105,-0.05,0.16,-0.33,3.60
18142,-0.05,0.16,-0.33,3.61
18180,-0.05,0.15,-0.33,3.62
18216,-0.05,0.15,-0.33,3.62
18251,-0.05,0.16,-0.33,3.63
